Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name:,JustGo-11263M,,,Name:,SpdCoach 2268560,,,Firmware:,---,,,Boat ID:,---,,,,,,,,,,,,,,,,
Start Time:,04/28/23 02:04am,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---,,,,,,,,,,,,,,,,
Type:,Just Go,,,Serial:,2268560,,,,,,,Port Starboard:,---,,,,,,,,,,,,,,,,
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---,,,,,,,,,,,,,,,,
Speed Input:,GPS,,,Profile Version:,0.02,,,,,,,Inboard Length:,---,,,,,,,,,,,,,,,,
,,,,Hardware Version:,Rev 11,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LiNK Version:,1.32,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session Summary:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.,,,,,,
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees),,,,,,
1,11263.7,0,56:13.3,02:30.1,3.33,00:00.0,0,23,1096,10.3,0,---,---,---,---,---,---,---,---,---,---,52.2104768,0.1329688,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval Summaries:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.,,,,,,
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees),,,,,,
1,11263.7,0,56:13.3,02:30.1,3.33,00:00.0,0,23,1096,10.3,0,---,---,---,---,---,---,---,---,---,---,52.2104768,0.1329688,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.,,,,,,
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees),,,,,,
1,3.5,0,00:02.1,10:02.4,0.83,00:00.0,0,28.5,1,3.5,0,---,---,---,---,---,---,---,---,---,---,52.2104768,0.1329688,,,,,,
1,8,0,00:04.3,04:50.6,1.72,00:00.0,0,27.5,2,4.5,0,---,---,---,---,---,---,---,---,---,---,52.2104647,0.1330312,,,,,,
1,12.2,0,00:06.3,04:28.8,1.86,00:00.0,0,30.5,3,4.2,0,---,---,---,---,---,---,---,---,---,---,52.2104531,0.13309,,,,,,
1,15.8,0,00:08.3,04:19.0,1.93,00:00.0,0,29.5,4,3.6,0,---,---,---,---,---,---,---,---,---,---,52.210453,0.1331431,,,,,,
1,19.7,0,00:10.5,04:31.7,1.84,00:00.0,0,29.5,5,3.9,0,---,---,---,---,---,---,---,---,---,---,52.2104571,0.1332002,,,,,,
1,23.7,0,00:12.5,04:34.7,1.82,00:00.0,0,27.5,6,4,0,---,---,---,---,---,---,---,---,---,---,52.2104519,0.1332594,,,,,,
1,27.9,0,00:14.7,04:17.7,1.94,00:00.0,0,29.5,7,4.2,0,---,---,---,---,---,---,---,---,---,---,52.2104452,0.1333197,,,,,,
1,33,0,00:16.9,04:06.3,2.03,00:00.0,0,24.5,8,5.1,0,---,---,---,---,---,---,---,---,---,---,52.2104401,0.1333937,,,,,,
1,39.3,0,00:19.9,04:02.7,2.06,00:00.0,0,21.5,9,6.3,0,---,---,---,---,---,---,---,---,---,---,52.2104359,0.1334855,,,,,,
1,45.5,0,00:22.7,03:56.9,2.11,00:00.0,0,21,10,6.2,0,---,---,---,---,---,---,---,---,---,---,52.2104379,0.1335766,,,,,,
1,52.6,0,00:25.7,03:43.2,2.24,00:00.0,0,20,11,7.1,0,---,---,---,---,---,---,---,---,---,---,52.2104394,0.1336814,,,,,,
1,60,0,00:28.7,03:31.8,2.36,00:00.0,0,20.5,12,7.3,0,---,---,---,---,---,---,---,---,---,---,52.2104421,0.1337888,,,,,,
1,67.3,0,00:31.5,03:23.2,2.46,00:00.0,0,20,13,7.3,0,---,---,---,---,---,---,---,---,---,---,52.2104411,0.1338956,,,,,,
1,75.1,0,00:34.5,03:17.6,2.53,00:00.0,0,20.5,14,7.8,0,---,---,---,---,---,---,---,---,---,---,52.2104406,0.1340102,,,,,,
1,83.1,0,00:37.5,03:13.7,2.58,00:00.0,0,20,15,8,0,---,---,---,---,---,---,---,---,---,---,52.2104422,0.1341281,,,,,,
1,91.4,0,00:40.7,03:12.3,2.6,00:00.0,0,19,16,8.3,0,---,---,---,---,---,---,---,---,---,---,52.210444,0.1342494,,,,,,
1,99.7,0,00:43.9,03:16.8,2.54,00:00.0,0,18.5,17,8.3,0,---,---,---,---,---,---,---,---,---,---,52.2104454,0.1343702,,,,,,
1,108.7,0,00:47.3,03:14.5,2.57,00:00.0,0,18,18,9,0,---,---,---,---,---,---,---,---,---,---,52.2104562,0.1345018,,,,,,
1,117.4,0,00:50.7,03:06.5,2.68,00:00.0,0,18,19,8.7,0,---,---,---,---,---,---,---,---,---,---,52.2104652,0.1346282,,,,,,
1,126,0,00:53.8,03:05.8,2.69,00:00.0,0,18.5,20,8.6,0,---,---,---,---,---,---,---,---,---,---,52.2104668,0.1347546,,,,,,
1,134.9,0,00:57.1,03:07.2,2.67,00:00.0,0,19,21,8.9,0,---,---,---,---,---,---,---,---,---,---,52.2104708,0.1348855,,,,,,
1,143,0,01:00.1,03:06.5,2.68,00:00.0,0,19,22,8,0,---,---,---,---,---,---,---,---,---,---,52.2104811,0.1350019,,,,,,
1,151.8,0,01:03.5,03:06.5,2.68,00:00.0,0,18.5,23,8.9,0,---,---,---,---,---,---,---,---,---,---,52.2104993,0.1351285,,,,,,
1,161.3,0,01:07.1,03:07.2,2.67,00:00.0,0,16.5,24,9.5,0,---,---,---,---,---,---,---,---,---,---,52.210531,0.135258,,,,,,
1,171.8,0,01:10.9,03:03.8,2.72,00:00.0,0,16,25,10.4,0,---,---,---,---,---,---,---,---,---,---,52.210572,0.135394,,,,,,
1,181.7,0,01:14.7,03:02.4,2.74,00:00.0,0,16,26,9.9,0,---,---,---,---,---,---,---,---,---,---,52.2106024,0.13553,,,,,,
1,192.5,0,01:18.3,03:01.8,2.75,00:00.0,0,16.5,27,10.8,0,---,---,---,---,---,---,---,---,---,---,52.2106563,0.1356619,,,,,,
1,202.4,0,01:21.9,02:57.3,2.82,00:00.0,0,16,28,9.9,0,---,---,---,---,---,---,---,---,---,---,52.2106948,0.135793,,,,,,
1,212.4,0,01:25.5,02:57.3,2.82,00:00.0,0,16.5,29,10,0,---,---,---,---,---,---,---,---,---,---,52.2107465,0.1359142,,,,,,
