Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-12342M,,,Name:,David's Speedcoach,,,Firmware:,---,,,Boat ID:,---
Start Time:,05/01/23 01:24pm,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2499825,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11
,,,,LiNK Version:,1.32


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,12342.7,0.0,01:01:31.0,00:02:29.7,3.34,00:00:00.0,0.00,19.0,1029,12.0,0.0,131,---,---,---,---,---,---,---,---,---,52.21989750,0.13006950


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,12342.7,0.0,01:01:31.0,00:02:29.7,3.34,00:00:00.0,0.00,19.0,1029,12.0,0.0,130,---,---,---,---,---,---,---,---,---,52.21989750,0.13006950



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,0.0,0.0,00:00:01.9,00:00:00.0,0.00,00:00:00.0,0.00,32.0,1,0.0,0.0,81,---,---,---,---,---,---,---,---,---,52.21989750,0.13006950
1,1.8,0.0,00:00:03.4,00:30:51.8,0.27,00:00:00.0,0.00,35.0,2,1.8,0.0,82,---,---,---,---,---,---,---,---,---,52.21708470,0.13256370
1,3.9,0.0,00:00:05.0,00:08:40.8,0.96,00:00:00.0,0.00,36.0,3,2.0,0.0,85,---,---,---,---,---,---,---,---,---,52.21707970,0.13260030
1,6.9,0.0,00:00:06.8,00:05:47.2,1.44,00:00:00.0,0.00,34.5,4,3.0,0.0,87,---,---,---,---,---,---,---,---,---,52.21706980,0.13264180
1,9.8,0.0,00:00:08.6,00:05:20.5,1.56,00:00:00.0,0.00,35.0,5,2.9,0.0,89,---,---,---,---,---,---,---,---,---,52.21706030,0.13268100
1,12.6,0.0,00:00:10.2,00:04:59.4,1.67,00:00:00.0,0.00,34.0,6,2.8,0.0,90,---,---,---,---,---,---,---,---,---,52.21705410,0.13272060
1,15.8,0.0,00:00:12.0,00:04:42.4,1.77,00:00:00.0,0.00,35.5,7,3.2,0.0,90,---,---,---,---,---,---,---,---,---,52.21704270,0.13276430
1,18.6,0.0,00:00:13.7,00:04:31.7,1.84,00:00:00.0,0.00,36.5,8,2.8,0.0,91,---,---,---,---,---,---,---,---,---,52.21703940,0.13280540
