Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-9527M,,,Name:,SidneySC 2483623,,,Firmware:,---,,,Boat ID:,---
Start Time:,05/27/23 01:31pm,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2483623,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11
,,,,LiNK Version:,1.32


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,9527.9,0.0,01:10:40.4,00:03:43.2,2.24,00:00:00.0,0.00,28.5,1451,6.6,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,9527.9,0.0,01:10:40.4,00:03:43.2,2.24,00:00:00.0,0.00,28.5,1451,6.6,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,0.0,0.0,00:00:01.9,00:00:00.0,0.00,---,---,30.5,1,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:05.8,00:00:00.0,0.00,00:00:00.0,0.00,42.5,2,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:07.2,00:00:00.0,0.00,00:00:00.0,0.00,46.5,3,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:08.4,00:00:00.0,0.00,00:00:00.0,0.00,47.0,4,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:09.8,00:00:00.0,0.00,00:00:00.0,0.00,46.0,5,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:11.1,00:00:00.0,0.00,00:00:00.0,0.00,47.0,6,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:12.6,00:00:00.0,0.00,00:00:00.0,0.00,47.0,7,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:13.6,00:00:00.0,0.00,00:00:00.0,0.00,45.5,8,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:14.8,00:00:00.0,0.00,00:00:00.0,0.00,47.5,9,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:16.0,00:00:00.0,0.00,00:00:00.0,0.00,47.0,10,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:17.4,00:00:00.0,0.00,00:00:00.0,0.00,45.0,11,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:19.6,00:00:00.0,0.00,00:00:00.0,0.00,28.5,12,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:21.7,00:00:00.0,0.00,00:00:00.0,0.00,27.5,13,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:23.8,00:00:00.0,0.00,00:00:00.0,0.00,28.5,14,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:26.0,00:00:00.0,0.00,00:00:00.0,0.00,27.5,15,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:28.3,00:00:00.0,0.00,00:00:00.0,0.00,27.5,16,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:30.6,00:00:00.0,0.00,00:00:00.0,0.00,27.5,17,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:32.6,00:00:00.0,0.00,00:00:00.0,0.00,28.5,18,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:34.6,00:00:00.0,0.00,00:00:00.0,0.00,28.5,19,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:36.8,00:00:00.0,0.00,00:00:00.0,0.00,28.5,20,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:38.8,00:00:00.0,0.00,00:00:00.0,0.00,29.5,21,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:41.0,00:00:00.0,0.00,00:00:00.0,0.00,28.5,22,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:43.1,00:00:00.0,0.00,00:00:00.0,0.00,28.5,23,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:45.6,00:00:00.0,0.00,00:00:00.0,0.00,28.5,24,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:48.1,00:00:00.0,0.00,00:00:00.0,0.00,20.5,25,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:50.9,00:00:00.0,0.00,00:00:00.0,0.00,21.5,26,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:53.7,00:00:00.0,0.00,00:00:00.0,0.00,21.0,27,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:56.5,00:00:00.0,0.00,00:00:00.0,0.00,21.0,28,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:00:59.5,00:00:00.0,0.00,00:00:00.0,0.00,21.0,29,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:01:02.3,00:00:00.0,0.00,00:00:00.0,0.00,21.5,30,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:01:04.9,00:00:00.0,0.00,00:00:00.0,0.00,21.5,31,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:01:07.9,00:00:00.0,0.00,00:00:00.0,0.00,20.5,32,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:01:10.7,00:00:00.0,0.00,00:00:00.0,0.00,21.0,33,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:01:13.5,00:00:00.0,0.00,00:00:00.0,0.00,21.5,34,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:01:16.9,00:00:00.0,0.00,00:00:00.0,0.00,18.0,35,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
1,0.0,0.0,00:01:20.1,00:00:00.0,0.00,00:00:00.0,0.00,17.5,36,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21058470,0.13248470
