Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-3561M,,,Name:,SpdCoach 2668852,,,Firmware:,---,,,Boat ID:,---
Start Time:,02/29/2024 16:19,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2668852,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.23,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,3561.6,0.0,00:16:34.8,00:02:19.7,3.58,00:00:00.0,0.00,38.5,361,9.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2324923,0.1710722


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,3561.6,0.0,00:16:34.8,00:02:19.7,3.58,00:00:00.0,0.00,38.5,361,9.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2324923,0.1710722



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,0.8,0.0,00:00:02.9,01:04:06.2,0.13,00:00:00.0,0.00,20.5,1,0.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2324923,0.1710722
1,8.7,0.0,00:00:06.3,00:34:43.3,0.24,00:00:00.0,0.00,24.5,2,8.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2325597,0.1710362
1,10.2,0.0,00:00:15.0,00:16:01.5,0.52,00:00:00.0,0.00,31.0,3,1.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2325671,0.1712338
1,12.8,0.0,00:00:16.6,00:09:34.7,0.87,00:00:00.0,0.00,39.5,4,2.6,0.0,---,---,---,---,---,---,---,---,---,---,52.2325439,0.1712410
1,16.6,0.0,00:00:18.0,00:05:33.3,1.50,00:00:00.0,0.00,45.5,5,3.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2325101,0.1712401
1,23.5,0.0,00:00:19.6,00:03:36.4,2.31,00:00:00.0,0.00,45.5,6,7.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2324512,0.1712714
1,29.9,0.0,00:00:20.6,00:02:45.6,3.02,00:00:00.0,0.00,44.5,7,6.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2323974,0.1713032
1,43.0,0.0,00:00:22.0,00:02:05.3,3.99,00:00:00.0,0.00,44.0,8,13.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2322943,0.1713979
1,52.6,0.0,00:00:23.4,00:01:28.0,5.68,00:00:00.0,0.00,43.0,9,9.5,0.0,---,---,---,---,---,---,---,---,---,---,52.2322199,0.1713291
1,59.6,0.0,00:00:24.7,00:01:16.7,6.52,00:00:00.0,0.00,43.0,10,7.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2321581,0.1713039
1,70.3,0.0,00:00:26.2,00:01:23.6,5.98,00:00:00.0,0.00,42.0,11,10.7,0.0,---,---,---,---,---,---,---,---,---,---,52.2320696,0.1712635
1,75.3,0.0,00:00:27.6,00:01:27.9,5.69,00:00:00.0,0.00,42.0,12,5.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2320342,0.1711964
1,85.2,0.0,00:00:29.0,00:01:29.8,5.57,00:00:00.0,0.00,42.0,13,10.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2319501,0.1711406
