Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-10321M,,,Name:,Tom's Speedcoach,,,Firmware:,---,,,Boat ID:,---
Start Time:,03/03/23 06:47am,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2268560,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.17,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.02,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11
,,,,LiNK Version:,1.32


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,10321.0,0.0,00:50:56.4,00:02:28.3,3.37,00:00:00.0,0.00,25.5,1033,10.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21056280,0.13255990


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,10321.0,0.0,00:50:56.4,00:02:28.3,3.37,00:00:00.0,0.00,25.5,1033,10.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21056280,0.13255990



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,1.1,0.0,00:00:02.4,00:34:43.3,0.24,00:00:00.0,0.00,25.5,1,1.1,0.0,---,---,---,---,---,---,---,---,---,---,52.21056280,0.13255990
1,5.2,0.0,00:00:04.4,00:06:46.5,1.23,00:00:00.0,0.00,22.5,2,4.1,0.0,---,---,---,---,---,---,---,---,---,---,52.21054800,0.13261440
1,14.9,0.0,00:00:08.4,00:03:42.2,2.25,00:00:00.0,0.00,15.0,3,9.7,0.0,---,---,---,---,---,---,---,---,---,---,52.21051240,0.13274360
1,26.9,0.0,00:00:12.4,00:02:59.2,2.79,00:00:00.0,0.00,15.5,4,12.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21048760,0.13291530
1,38.1,0.0,00:00:16.2,00:02:35.2,3.22,00:00:00.0,0.00,15.5,5,11.2,0.0,---,---,---,---,---,---,---,---,---,---,52.21046240,0.13307410
1,51.3,0.0,00:00:20.2,00:02:27.0,3.40,00:00:00.0,0.00,15.5,6,13.2,0.0,---,---,---,---,---,---,---,---,---,---,52.21043790,0.13326310
1,64.2,0.0,00:00:24.0,00:02:25.7,3.43,00:00:00.0,0.00,15.5,7,13.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21042720,0.13345220
1,76.5,0.0,00:00:27.8,00:02:24.5,3.46,00:00:00.0,0.00,15.5,8,12.3,0.0,---,---,---,---,---,---,---,---,---,---,52.21042110,0.13363280
1,91.3,0.0,00:00:31.8,00:02:23.6,3.48,00:00:00.0,0.00,16.0,9,14.8,0.0,---,---,---,---,---,---,---,---,---,---,52.21042230,0.13384950
1,104.4,0.0,00:00:35.6,00:02:22.4,3.51,00:00:00.0,0.00,15.5,10,13.1,0.0,---,---,---,---,---,---,---,---,---,---,52.21041710,0.13404090
1,116.9,0.0,00:00:39.2,00:02:22.8,3.50,00:00:00.0,0.00,16.5,11,12.5,0.0,---,---,---,---,---,---,---,---,---,---,52.21042170,0.13422430
1,130.1,0.0,00:00:43.0,00:02:24.9,3.45,00:00:00.0,0.00,15.5,12,13.2,0.0,---,---,---,---,---,---,---,---,---,---,52.21043040,0.13441650
1,143.2,0.0,00:00:46.8,00:02:23.6,3.48,00:00:00.0,0.00,15.5,13,13.1,0.0,---,---,---,---,---,---,---,---,---,---,52.21044420,0.13460700
1,156.4,0.0,00:00:50.6,00:02:23.2,3.49,00:00:00.0,0.00,15.5,14,13.2,0.0,---,---,---,---,---,---,---,---,---,---,52.21045290,0.13480010
1,169.9,0.0,00:00:54.4,00:02:23.2,3.49,00:00:00.0,0.00,16.0,15,13.5,0.0,---,---,---,---,---,---,---,---,---,---,52.21046610,0.13499700
1,183.4,0.0,00:00:58.2,00:02:22.0,3.52,00:00:00.0,0.00,15.5,16,13.5,0.0,---,---,---,---,---,---,---,---,---,---,52.21048820,0.13519160
1,196.9,0.0,00:01:02.0,00:02:22.0,3.52,00:00:00.0,0.00,16.0,17,13.6,0.0,---,---,---,---,---,---,---,---,---,---,52.21052100,0.13538310
1,210.8,0.0,00:01:05.8,00:02:22.4,3.51,00:00:00.0,0.00,15.5,18,13.9,0.0,---,---,---,---,---,---,---,---,---,---,52.21057130,0.13548810
1,223.1,0.0,00:01:09.8,00:02:24.0,3.47,00:00:00.0,0.00,15.5,19,12.3,0.0,---,---,---,---,---,---,---,---,---,---,52.21063030,0.13571740
1,236.1,0.0,00:01:13.4,00:02:24.0,3.47,00:00:00.0,0.00,15.5,20,12.9,0.0,---,---,---,---,---,---,---,---,---,---,52.21068410,0.13588600
1,250.1,0.0,00:01:17.2,00:02:21.6,3.53,00:00:00.0,0.00,16.0,21,14.1,0.0,---,---,---,---,---,---,---,---,---,---,52.21075350,0.13605870
1,264.2,0.0,00:01:21.0,00:02:20.0,3.57,00:00:00.0,0.00,16.0,22,14.1,0.0,---,---,---,---,---,---,---,---,---,---,52.21083040,0.13622300
1,277.3,0.0,00:01:24.8,00:02:16.9,3.65,00:00:00.0,0.00,16.0,23,13.1,0.0,---,---,---,---,---,---,---,---,---,---,52.21089420,0.13638350
1,291.9,0.0,00:01:28.6,00:02:15.5,3.69,00:00:00.0,0.00,16.0,24,14.6,0.0,---,---,---,---,---,---,---,---,---,---,52.21096290,0.13656630
1,301.4,0.0,00:01:32.2,00:02:27.0,3.40,00:00:00.0,0.00,16.0,25,9.5,0.0,---,---,---,---,---,---,---,---,---,---,52.21102510,0.13665630
1,312.0,0.0,00:01:36.0,00:02:56.6,2.83,00:00:00.0,0.00,16.0,26,10.6,0.0,---,---,---,---,---,---,---,---,---,---,52.21103260,0.13682330
1,332.1,0.0,00:01:39.8,00:02:46.6,3.00,00:00:00.0,0.00,16.0,27,20.1,0.0,---,---,---,---,---,---,---,---,---,---,52.21097110,0.13709620
1,350.9,0.0,00:01:43.4,00:02:13.6,3.74,00:00:00.0,0.00,16.0,28,18.8,0.0,---,---,---,---,---,---,---,---,---,---,52.21110400,0.13722140
1,364.7,0.0,00:01:47.2,00:02:14.7,3.71,00:00:00.0,0.00,16.0,29,13.8,0.0,---,---,---,---,---,---,---,---,---,---,52.21116350,0.13739960
1,378.3,0.0,00:01:51.0,00:02:23.6,3.48,00:00:00.0,0.00,16.0,30,13.6,0.0,---,---,---,---,---,---,---,---,---,---,52.21120430,0.13758770
1,390.7,0.0,00:01:54.8,00:02:21.6,3.53,00:00:00.0,0.00,16.0,31,12.4,0.0,---,---,---,---,---,---,---,---,---,---,52.21122790,0.13776440
1,403.9,0.0,00:01:58.4,00:02:21.6,3.53,00:00:00.0,0.00,16.0,32,13.2,0.0,---,---,---,---,---,---,---,---,---,---,52.21123360,0.13795800
1,417.0,0.0,00:02:02.2,00:02:23.2,3.49,00:00:00.0,0.00,15.5,33,13.1,0.0,---,---,---,---,---,---,---,---,---,---,52.21123380,0.13814980
1,429.8,0.0,00:02:06.0,00:02:26.6,3.41,00:00:00.0,0.00,16.0,34,12.9,0.0,---,---,---,---,---,---,---,---,---,---,52.21121800,0.13833600
1,442.1,0.0,00:02:09.8,00:02:27.0,3.40,00:00:00.0,0.00,15.5,35,12.3,0.0,---,---,---,---,---,---,---,---,---,---,52.21119460,0.13851260
1,456.0,0.0,00:02:13.6,00:02:24.5,3.46,00:00:00.0,0.00,16.0,36,13.9,0.0,---,---,---,---,---,---,---,---,---,---,52.21117420,0.13871350
1,469.8,0.0,00:02:17.4,00:02:22.4,3.51,00:00:00.0,0.00,15.5,37,13.7,0.0,---,---,---,---,---,---,---,---,---,---,52.21116550,0.13891400
1,482.5,0.0,00:02:21.2,00:02:22.8,3.50,00:00:00.0,0.00,15.5,38,12.8,0.0,---,---,---,---,---,---,---,---,---,---,52.21116140,0.13910130
1,494.9,0.0,00:02:24.8,00:02:24.9,3.45,00:00:00.0,0.00,16.5,39,12.3,0.0,---,---,---,---,---,---,---,---,---,---,52.21115820,0.13928190
1,509.0,0.0,00:02:28.6,00:02:23.6,3.48,00:00:00.0,0.00,16.0,40,14.1,0.0,---,---,---,---,---,---,---,---,---,---,52.21117440,0.13948770
1,522.2,0.0,00:02:32.4,00:02:22.8,3.50,00:00:00.0,0.00,16.0,41,13.1,0.0,---,---,---,---,---,---,---,---,---,---,52.21119420,0.13967760
1,534.6,0.0,00:02:36.0,00:02:23.6,3.48,00:00:00.0,0.00,16.0,42,12.4,0.0,---,---,---,---,---,---,---,---,---,---,52.21122660,0.13985220
1,563.2,0.0,00:02:45.5,00:02:49.4,2.95,00:00:00.0,0.00,35.0,43,28.6,0.0,---,---,---,---,---,---,---,---,---,---,52.21134500,0.14036390
1,568.5,0.0,00:02:47.2,00:03:00.5,2.77,00:00:00.0,0.00,28.5,44,5.3,0.0,---,---,---,---,---,---,---,---,---,---,52.21136580,0.14043350
1,603.2,0.0,00:02:58.9,00:02:47.2,2.99,00:00:00.0,0.00,15.5,45,34.7,0.0,---,---,---,---,---,---,---,---,---,---,52.21152560,0.14090800
1,634.4,0.0,00:03:10.6,00:03:22.4,2.47,00:00:00.0,0.00,15.5,46,31.2,0.0,---,---,---,---,---,---,---,---,---,---,52.21186940,0.14161200
1,641.9,0.0,00:03:14.3,00:04:21.7,1.91,00:00:00.0,0.00,16.5,47,7.4,0.0,---,---,---,---,---,---,---,---,---,---,52.21191220,0.14169570
1,649.7,0.0,00:03:17.9,00:04:00.3,2.08,00:00:00.0,0.00,16.5,48,7.8,0.0,---,---,---,---,---,---,---,---,---,---,52.21195910,0.14178020
1,657.3,0.0,00:03:21.3,00:03:50.4,2.17,00:00:00.0,0.00,16.5,49,7.7,0.0,---,---,---,---,---,---,---,---,---,---,52.21201370,0.14184860
1,665.7,0.0,00:03:24.9,00:03:34.5,2.33,00:00:00.0,0.00,17.0,50,8.4,0.0,---,---,---,---,---,---,---,---,---,---,52.21207450,0.14192030
1,674.4,0.0,00:03:28.5,00:03:28.3,2.40,00:00:00.0,0.00,17.5,51,8.7,0.0,---,---,---,---,---,---,---,---,---,---,52.21213920,0.14199150
1,682.7,0.0,00:03:31.8,00:03:24.9,2.44,00:00:00.0,0.00,17.0,52,8.3,0.0,---,---,---,---,---,---,---,---,---,---,52.21220290,0.14205540
1,692.0,0.0,00:03:35.3,00:03:13.0,2.59,00:00:00.0,0.00,18.0,53,9.3,0.0,---,---,---,---,---,---,---,---,---,---,52.21227810,0.14211510
1,703.1,0.0,00:03:38.7,00:02:53.6,2.88,00:00:00.0,0.00,17.0,54,11.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21237260,0.14216480
1,713.9,0.0,00:03:41.9,00:02:35.7,3.21,00:00:00.0,0.00,18.5,55,10.9,0.0,---,---,---,---,---,---,---,---,---,---,52.21246380,0.14222030
1,725.5,0.0,00:03:45.2,00:02:23.6,3.48,00:00:00.0,0.00,19.0,56,11.6,0.0,---,---,---,---,---,---,---,---,---,---,52.21255680,0.14229500
1,737.2,0.0,00:03:48.3,00:02:17.3,3.64,00:00:00.0,0.00,19.0,57,11.8,0.0,---,---,---,---,---,---,---,---,---,---,52.21265550,0.14235700
1,748.9,0.0,00:03:51.3,00:02:13.3,3.75,00:00:00.0,0.00,20.0,58,11.6,0.0,---,---,---,---,---,---,---,---,---,---,52.21275350,0.14241620
1,759.8,0.0,00:03:54.1,00:02:09.1,3.87,00:00:00.0,0.00,20.5,59,10.9,0.0,---,---,---,---,---,---,---,---,---,---,52.21284610,0.14246910
